Título,Autores,Resumen,Año,URL
The connectome spectrum as a canonical basis for a sparse representation of fast brain activity,"J Rué-Queralt, K Glomb, D Pascucci, S Tourbier","The functional organization of neural processes is constrained by the brain's intrinsic  structural connectivity, ie, the connectome. Here, we explore how structural connectivity can",2021,https://www.sciencedirect.com/science/article/pii/S1053811921008843
Exploratory Topological Data Analysis of Resting-State fMRI Data,MRA Castro,"Algebraic topology offers methods to assess the global properties of networks through the  computation of homology groups. When studying networks at a mesoscopic scale, one is often",2019,https://www.math.tecnico.ulisboa.pt/~rpicken/students/marta-castro.pdf
Imaging the spontaneous flow of thought: Distinct periods of cognition contribute to dynamic functional connectivity during rest,"J Gonzalez-Castillo, C Caballero-Gaudes, N Topolski","Regarding the proposed procedure for data-driven estimation of the number of states, we  note that community detection on the embedding’s affinity matrix—a key step in this procedure",2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6819261/
On the reliability of individual brain activity networks,"B Cassidy, FDB Bowman, C Rae",framework based on persistent homology from topological data analysis. We use the new  network  The effect of sampling rate on FCN estimation for a single parcellation size has been,2017,No disponible
Structural and functional connectivity reconstruction with CATO-A Connectivity Analysis TOolbox,"SC de Lange, K Helwegen, MP van den Heuvel",We describe a Connectivity Analysis TOolbox (CATO) for the reconstruction of structural and  functional brain connectivity based on diffusion weighted imaging and resting-state,2023,https://www.sciencedirect.com/science/article/pii/S1053811923002549
Topological Characteristics of 5d Spatially Dynamic Brain Networks in Schizophrenia,"MS Salman, A Iraji, N Lewis",Topological data analysis (TDA) is an emerging field motivated by the application of   Solid dots and lines indicate mean and 95% confidence interval respectively. The significant,2023,No disponible
Topological EEG-based functional connectivity analysis for mental workload state recognition,"Y Yan, L Ma, YS Liu, K Ivanov, JH Wang",Mental workload (MWL) assessment is crucial in fatigue evaluation applications to avoid  potential health problems or serious accidents. This article proposes an MWL recognition,2023,https://ieeexplore.ieee.org/iel7/19/4407674/10123360.pdf
Revisiting abnormalities in brain network architecture underlying autism using topology-inspired statistical inference,"S Palande, V Jose, B Zielinski, J Anderson","In this article, we apply topological data analysis in conjunction with  By combining topological  data analysis with statistical  with standard errors in the estimation. Note that the number of",2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6390667/
Persistent Homology Identifies Pathways Associated with Hepatocellular Carcinoma from Peripheral Blood Samples,"MS Abdullahi, A Suratanee, RM Piro, K Plaimas","Topological data analysis (TDA) methods have recently emerged as powerful tools for  uncovering intricate patterns and relationships in complex biological data, demonstrating their",2024,https://www.mdpi.com/2227-7390/12/5/725/pdf
The role of spatial embedding in mouse brain networks constructed from diffusion tractography and tracer injections,"S Trinkle, S Foxley, G Wildenberg, N Kasthuri","Diffusion MRI tractography is the only noninvasive method to measure the structural  connectome in humans. However, recent validation studies have revealed limitations of modern",2021,https://www.sciencedirect.com/science/article/pii/S1053811921008491
Modeling and interpreting mesoscale network dynamics.,"A Sizemore, R Betzel, D Bassett, A Khambhati",in traumatic brain injury using topological data analysis. PloS one. 2017; 12:e0169490.  (C)  Example use of topological data analysis for dynamic networks. The initial point cloud here is,2018,https://escholarship.org/content/qt4hm7z73q/qt4hm7z73q_noSplash_ef47c29451e93e229b7889d22bde569c.pdf
A reachable probability approach for the analysis of spatio-temporal dynamics in the human functional network,"Q Gao, Y Xiang, J Zhang, N Luo, M Liang, L Gong, J Yu","The dynamic architecture of the human brain has been consistently observed. However,  there is still limited modeling work to elucidate how neuronal circuits are hierarchically and",2021,https://www.sciencedirect.com/science/article/pii/S1053811921007709
Subject-specific brain activity analysis in fmri data using merge trees,"F Rasheed, D Jönsson, E Nilsson",We present a method for detecting patterns in time-varying functional magnetic resonance  imaging (fMRI) data based on topological analysis. The oxygenated blood flow measured by,2022,No disponible
Machine Learning Interpretability Methods to Characterize Brain Network Dynamics in Epilepsy,"DP Upadhyaya, K Prantzalos, S Thyagaraj","As a result, Topological Data Analysis (TDA) methods, such as persistent homology  capable of characterizing topological structures in noisy datasets, have garnered considerable",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10327223/
Spontaneous and deliberate modes of creativity: Multitask eigen-connectivity analysis captures latent cognitive modes during creative thinking,"H Xie, RE Beaty, S Jahanikia, C Geniesse","Despite substantial progress in the quest of demystifying the brain basis of creativity, several  questions remain open. One such issue concerns the relationship between two latent",2021,https://www.sciencedirect.com/science/article/pii/S1053811921008041
Topological analysis of differential effects of ketamine and propofol anaesthesia on brain dynamics,"TF Varley, V Denny, O Sporns","To assess the spatial distribution of activity across channels, we used topological data  analysis to analyse the structure of the joint-states of all channels through time. To assess the",2021,https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.201971
Learning and Evaluating Graphs From Spatially Structured Data: Application to Brain Functional Connectivity Networks,H Lbath,consistent estimation  topological data analysis and spatial information to improve weighted  network discriminability. We then tackle the challenge of consistent edge weight estimation,2023,https://theses.hal.science/tel-04515420/document
Higher-order description of brain function,"P Expert, G Petri",We then discuss recent applications of topological data analysis to  estimation of the model  parameters. Methods relying on signal correlation analysis and topological data analysis are,2022,No disponible
Functional network: A novel framework for interpretability of deep neural networks,"B Zhang, Z Dong, J Zhang, H Lin","theoretical analysis and topological data analysis. Our empirical  network and topological  data analysis in interpretability.  In addition, the inaccurate estimation of mutual information",2023,https://arxiv.org/pdf/2205.11702
Topological and Geometric approaches in Epidemiology,DB SOUZA,from parameter estimation and epidemic  topological data analysis in order to investigate  epidemic behavior in real data trough an exploratory perspective. Topological Data Analysis,2021,https://repositorio.ufpe.br/bitstream/123456789/39847/1/TESE%20Danillo%20Barros%20de%20Souza.pdf
Autism classification using topological features and deep learning: A cautionary tale,"A Rathore, S Palande, JS Anderson","Topological Data Analysis. In recent years, methods from  8], a central tool in topological data  analysis, allows us to capture  looking to employ topological data analysis in neuroimaging.",2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7390646/
Kernel machine tests of association using extrinsic and intrinsic cluster evaluation metrics,"AM Jensen, P DeWitt, BM Bettcher","topological data analysis, which uses persistent homology to represent the shape of and cluster  data [24]. The utility of topological data analysis  how to extend the estimation and testing",2024,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1012524&type=printable
Simplicial complex entropy for time series analysis,"L Guzmán-Vargas, A Zabaleta-Ortega","Of particular interest is the estimation of entropy in irregular series that often appear in  real systems and whose estimation is crucial to characterize them. Also, these records are",2023,https://www.nature.com/articles/s41598-023-49958-6.pdf
Brain imaging analysis,FDB Bowman,The two-stage approach substantially reduces the computational burden because estimation  in both GLMs uses least-squares and avoids using either the Newton–Raphson procedure,2014,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4189192/
"fMRI: preprocessing, classification and pattern recognition","M Sharaev, A Andreev, A Artemov, A Bernstein","As machine learning continues to gain momentum in the neuroscience community, we witness  the emergence of novel applications such as diagnostics, characterization, and treatment",2018,https://arxiv.org/pdf/1804.10167
Tau-PET abnormality change along with Alzheimer's disease: a topological perspective,"J Ding, C Shen, Z Wang, Y Yang, G El Fakhri, J Lu","Recently, topological data analysis has been acknowledged as a powerful research tool  for neurodegenerative diseases (18–20), which can be effective for analyzing tau deposition",2023,https://www.researchsquare.com/article/rs-2756518/latest.pdf
Efficient estimation of the modified Gromov–Hausdorff distance between unweighted graphs,"V Oles, N Lemons, A Panchenko",We notice that efficient estimation of either the GH or the mGH distance between finite  metric spaces allows for its estimation between infinite compact metric spaces with desired,2024,https://link.springer.com/content/pdf/10.1007/s10878-024-01202-1.pdf
NeuMapper: A scalable computational framework for multiscale exploration of the brain's dynamical organization,"C Geniesse, S Chowdhury, M Saggar","Recently, the Mapper approach from topological data analysis (TDA) has been successfully  applied on noninvasive human neuroimaging data to characterize the entire dynamical",2022,https://direct.mit.edu/netn/article-pdf/6/2/467/2028149/netn_a_00229.pdf
Advanced Estimation of Brain Age Using Pre-trained 2D Convolutional Neural Networks on a Public Dataset,"M Al-kubaisi, AS Ahmed, SM Al-Barzinji","This work introduces a brand-new approach to be employed for correctly assessing healthy  person’s brain aging, masking what constitutes the most serious challenge in the fight",2024,https://journal.umy.ac.id/index.php/jrc/article/download/22006/9188
Temporal Mapper: Transition networks in simulated and real neural dynamics,"M Zhang, S Chowdhury, M Saggar","Here, we provide a novel method—Temporal Mapper—built upon established tools from  the field of topological data analysis to retrieve the network of attractor transitions from time",2023,https://direct.mit.edu/netn/article-pdf/7/2/431/2118400/netn_a_00301.pdf
Iterated integrals and population time series analysis,"C Giusti, D Lee","Barcodes have no standard description as a vector of fixed dimension, and this method  provides such a description, allowing techniques from topological data analysis to be used with",2020,https://arxiv.org/pdf/1811.03558
Graph theory methods: applications in brain networks,O Sporns,"measured network, their estimation should always be  Citation72 Finally, the related  area of topological data analysis  A recent example used topological data analysis to reveal",2018,https://www.tandfonline.com/doi/pdf/10.31887/DCNS.2018.20.2/osporns
Malignancy classification of renal cysts using a single slice CT based machine learning model,S Chopra,"and Chapter 3, the estimation of robust topological features is  We apply topological data  analysis techniques to obtain a  , we apply topological data analysis techniques to compute the",2021,https://escholarship.mcgill.ca/downloads/3197xr475
Interpolated functional manifold for functional near-infrared spectroscopy analysis at group level,"SM Ávila-Sansores, G Rodríguez-Gómez","be considered related to topological data analysis, 5 it does  neuroimage to provide the  background error for a synthetic  ) introduces a clear bias in our estimation of the error. Also, the",2020,https://www.spiedigitallibrary.org/journalArticle/Download?fullDOI=10.1117/1.NPh.7.4.045009
The hidden repertoire of brain dynamics and dysfunction,"AR McIntosh, VK Jirsa","The purpose of this paper is to describe a framework for the understanding of rules that  govern how neural system dynamics are coordinated to produce behavior. The framework,",2019,https://direct.mit.edu/netn/article-pdf/3/4/994/1866877/netn_a_00107.pdf
Persistent Homological Structures in Compressed Sensing and Sparse Likelihood,"MK Chung, H Lee, M Arnold","In this paper, we explore hidden persistent homological structures in sparse regressions.  Sparse regressions are usually parameterized by tuning parameters that determine the sparsity",NA,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=194feb892880de159d21008c9e3b267da7e775fa
Fast glioblastoma detection in fluid-attenuated inversion recovery (flair) images by topological explainable automatic machine learning,"M Rucco, G Viticchi",Table 1 reports the accuracy and the corresponding 95% confidence interval for each   We intend to combine topological data analysis methods with dynamical system analysis for,2019,https://www.researchgate.net/profile/Matteo-Rucco/publication/338004071_Fast_Glioblastoma_Detection_in_Fluid-attenuated_inversion_recovery_FLAIR_images_by_Topological_Explainable_Automatic_Machine_Learning/links/5e289118a6fdcc70a1435573/Fast-Glioblastoma-Detection-in-Fluid-attenuated-inversion-recovery-FLAIR-images-by-Topological-Explainable-Automatic-Machine-Learning.pdf
Optimizing the Prediction of Depression Remission: A Longitudinal Machine Learning Approach,"E Carr, M Rietschel, O Mors",Longitudinal descriptors extracted with growth curves and topological data analysis were   Elastic net allows estimation of the combined predictive ability of a high number of variables,2024,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ajmg.b.33014
"Integral Betti signature confirms the hyperbolic geometry of brain, climate, and financial networks","L Caputi, A Pidnebesna, J Hlinka","and pitfalls of topological data analysis for brain connectivity analysis. NeuroImage, 238:  Clique complexes Given a sequence of graphs, it is customary in Topological Data Analysis to",2024,https://arxiv.org/pdf/2406.15505
Machine learning algorithm for automatic detection of CT-identifiable hyperdense lesions associated with traumatic brain injury,"KN Keshavamurthy, OP Leary","This criterion is based on the estimation that the smallest segmented lesion visible in our   Next, we present results of topological data analysis using Ayasdi software. For the lens function",2017,http://cdn.ayasdi.com.s3.amazonaws.com/wp-content/uploads/2017/04/20130637/101342G1.pdf
Locus coeruleus and dorsal cingulate morphology contributions to slowed processing speed,"MA Eckert, F Iuricich, KC Harris, ED Hamlett","Topological data analysis (TDA) is a relatively new field rooted in algebraic topology and is   and ADE or ATE, which allowed for the estimation of the fraction of ADE that is explained by",2023,https://www.sciencedirect.com/science/article/am/pii/S0028393222003086
Brain complexities and anesthesia: Their meaning and measurement,"D Li, MS Fabus, JW Sleigh","Because it is popular, we will use the Lempel–Ziv algorithm to illustrate the technical  aspects of estimation of temporal complexity. Subsequent sections will discuss spatial and",2022,https://drive.google.com/file/d/1aDxvwOUWEDf23CwAAPzC9wquRACD4Jzd/view
Functional neuroimaging in the era of Big Data and Open Science: A modern overview,NA Lazar,"Beyond activation detection and estimation of the hemodynamic response function, which   , and connections to new approaches such as topological data analysis. At the same time, the",2023,https://wires.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wics.1609
Persistent homology: A topological tool for higher-interaction systems,"F Vaccarino, U Fugacci, S Scaramuccia","well as a review of the existing tools in the broader area of Topological Data Analysis (TDA).   In this section, we review applications of Topological Data Analysis (TDA) exploiting the",2022,No disponible
Neurophysiological assessment of image quality from EEG using persistent homology of brain network,"C Liu, X Ma, J Wang, J Zhang, H Zhang","The neuropsychological characteristics inside the brain are still not sufficiently understood  during the conventional image quality assessment procedure. In this paper, we extract the",2021,No disponible
Efficient estimation of a Gromov--Hausdorff distance between unweighted graphs,"V Oles, N Lemons, A Panchenko",We note that efficient estimation of either of the GH distances between finite metric spaces  allows for its estimation between infinite compact metric spaces with desired accuracy. This is,2019,https://arxiv.org/pdf/1909.09772
Tau-PET abnormality as a biomarker for Alzheimer's disease staging and early detection: a topological perspective,"J Ding, C Shen, Z Wang, Y Yang, G El Fakhri","Overall, cluster-based topological data analysis outperformed composite SUVR and medial  temporal lobe SUVR. This is more obvious when using the significant topological biomarkers",2023,No disponible
Statistical connectomics,"J Chung, E Bridgeford, J Arroyo","provides a framework for meaningful and accurate testing and estimation for connectomics.   To achieve the best embedding estimation, the diagonal entries of adjacency matrices",2021,https://osf.io/ek4n3/download
Mining correlation between fluid intelligence and whole-brain large scale structural connectivity,"S Garai, F Xu, DA Duong-Tran, Y Zhao",Topological Data Analysis (TDA) helps to understand brain networks in a holistically and  to analyse network functionalities from higher order interactions (rather than just pairwise) in,2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10283120/
LESA: Longitudinal elastic shape analysis of brain subcortical structures,"Z Zhang, Y Wu, D Xiong, JG Ibrahim","Next, we used a 95% confidence interval to detect potential outlying surfaces. We then  visualized the potential outlying surfaces to manually remove the abnormal ones. Finally, we",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10162479/
"Higher-order connectomics of human brain function reveals local topological signatures of task decoding, individual identification, and behavior","A Santoro, F Battiston, M Lucas, GI Petri, E Amico",", encoded within a simplicial structure, using topological data analysis tools. (d) From this   We rely on a recent topological method [40] that combines topological data analysis [51",2023,https://www.biorxiv.org/content/biorxiv/early/2023/12/05/2023.12.04.569913.full.pdf
Structure-function network mapping and its assessment via persistent homology,"H Liang, H Wang",Understanding the relationship between brain structure and function is a fundamental  problem in network neuroscience. This work deals with the general method of structure-function,2017,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1005325&type=printable
0-Dimensional Persistent Homology Analysis Implementation in Resource-Scarce Embedded Systems,"S Branco, JG Carvalho, MS Reis, NV Lopes, J Cabral","Persistent Homology (PH) analysis allows understanding of a problem using Topological  Data Analysis (TDA). TDA reduces a problem to its topological features, reducing the problem",2022,https://www.mdpi.com/1424-8220/22/10/3657/pdf
Topological Dynamics of Functional Brain Connectome in Working Memory Processing,"IM Ernston, TV Adamovich","This research paper delves into the neural processes underlying working memory through  the lens of complex network analysis. Employing this approach, the study aims to unravel the",2023,No disponible
Deep grading based on collective artificial intelligence for AD diagnosis and prognosis,"HD Nguyen, M Clément, B Mansencal","Accurate diagnosis and prognosis of Alzheimer’s disease are crucial to develop new therapies  and reduce the associated costs. Recently, with the advances of convolutional neural",2021,https://arxiv.org/pdf/2211.15192
"Abdi, H. 2007. The RV Coefficient and the Congruence Coefficient. Sage. Achanta, R., Shaji, A., Smith, K., Lucchi, A., Fua, P., and Süsstrunk, S. 2012. SLIC …","EA Allen, E Damaraju, SM Plis, EB Erhardt, T Eichele","Robust smoothness estimation in statistical parametric maps using standardized residuals  from the general linear model. NeuroImage, 10, 756–766. Kim, S.-G., Chung, MK, Hanson, JL,",NA,No disponible
Dynamic nonreversibility view of intrinsic brain organization and brain dynamic analysis of repetitive transcranial magnitude stimulation,"L Fan, Y Li, X Zhao, Z Huang, T Liu, J Wang","Intrinsic neural activities are characterized as endless spontaneous fluctuation over multiple  time scales. However, how the intrinsic brain organization changes over time under local",2024,No disponible
Network comparison with frequency domain persistent homology,"B Cassidy, C Rae, V Solo","The new area of topological data analysis has thrown up persistent homology as a promising   This is of course a classic signal estimation problem, being a simple problem of regression",2016,No disponible
Statistics for data with geometric structure,"A Feragen, T Hotz, S Huckemann, E Miller",In [5] we used this to define a robust statistical estimation of the anatomical atlas and   medicine and are now more succinctly summarized as topological data analysis (TDA) [4]. Despite,2019,https://ems.press/content/serial-article-files/46725
Advances in Bayesian Hierarchical Models for Complex Health Data,P Nguyen,"As these measurements are highly correlated and are driven by similar mechanisms through  which phthalates affect obesity, we can expect to improve estimation efficiency by modeling",2023,No disponible
A Robust Topological Framework for Detecting Regime Changes in Multi-Trial Experiments with Application to Predictive Maintenance,"AB El-Yaagoubi, JM Freyermuth, H Ombao","We present the estimation procedures and outline our regime change detection approach  under the three scenarios mentioned earlier. In Section 3, we apply our technique to simulated",2024,https://arxiv.org/pdf/2410.20443
Resting-State fMRI Advances for Functional Brain Dynamics,D Larrivee,Minimizing estimation errors yields the set of optimal connection weights. Variable Y is said  to be caused by variable X if the time series of X provides unique information not present in,2023,https://www.intechopen.com/online-first/88663
Two-Stage Hierarchical and Explainable Feature Selection Framework for Dimensionality Reduction in Sleep Staging,"Y Deng, H Albidah, A Dallal, J Yin, ZH Mao","Inspired by topological data analysis, which can analyze the structure of high-dimensional  data, we extract topological features from the EEG signals to compensate for the structural",2024,https://arxiv.org/pdf/2409.00565
Manifold learning for fMRI time-varying functional connectivity,"J Gonzalez-Castillo, IS Fernandez, KC Lam","Similarly, if manifold estimation is used to compress the data or extract features for a  subsequent classification step, knowing the ID can help us decide how many dimensions (ie,",2023,https://www.frontiersin.org/articles/10.3389/fnhum.2023.1134012/pdf
Navigating Memorability Landscapes: Hyperbolic Geometry Reveals Hierarchical Structures in Object Concept Memory,"FM Lee, MG Berman, AJ Stier, WA Bainbridge","Using ALBATROSS (Stier, AJ, Giusti, C., & Berman, MG, In prep), a stochastic topological  data analysis technique that detects underlying structures of data, we demonstrate that",2024,https://www.biorxiv.org/content/10.1101/2024.09.22.614329.full.pdf
Modeling sparse longitudinal data on Riemannian manifolds,"X Dai, Z Lin, HG Müller","Modern data collection often entails longitudinal repeated measurements that assume values  on a Riemannian manifold. Analyzing such longitudinal Riemannian data is challenging,",2021,https://academic.oup.com/biometrics/article-pdf/77/4/1328/54394233/biometrics_77_4_1328.pdf
Topologically penalized regression on manifolds,"O Hacquard, K Balasubramanian, G Blanchard","In this section, we present the most basic concepts of topological data analysis as  gradient  descent penalizing Ω2 against a Lasso estimation. The reconstruction is visually better and is",2022,https://www.jmlr.org/papers/volume23/21-1270/21-1270.pdf
The control costs of human brain dynamics,"EG Ceballos, AI Luppi, G Castrillon, M Saggar","Precision dynamical mapping using topological data analysis reveals a hub-like transition  state at rest. Nature Communications, 13(1), 4791. https://doi.org/10.1038/s41467-022 -32381-",2024,https://direct.mit.edu/netn/article-pdf/doi/10.1162/netn_a_00425/2478253/netn_a_00425.pdf
Resting-state brain network analysis methods and applications,"Y Ge, W Dou","Commonly adopted EC estimation methods are structural equation modeling (SEM) [41],   The algebraic topological data analysis (TDA) method provides a new way to analyze the",2022,https://www.intechopen.com/chapters/82203
Large-scale brain networks in resting-state underlying individual differences on response inhibition,허영민,Functional and topological data analysis suggested the importance of anti-correlation  between SN and DMN components. The greater anti-correlation of SN-DMN components were,2020,https://s-space.snu.ac.kr/bitstream/10371/170613/1/000000162672.pdf
A principled framework to assess the information-theoretic fitness of brain functional sub-circuits,"D Duong-Tran, N Nguyen, S Mu, J Chen, J Bao, FH Xu","In systems and network neuroscience, many common practices in brain connectomic analysis  are often not properly scrutinized. One such practice is mapping a predetermined set of",2024,https://www.mdpi.com/2227-7390/12/19/2967
"The topology, stability, and instability of learning-induced brain network repertoires in schizophrenia","ED Meram, S Baajour, A Chowdury, J Kopchick","While node ranks are highly correlated across groups, multiple nodes lay outside the  confidence interval of the regression model. These include the left middle temporal gyrus, left",2023,https://direct.mit.edu/netn/article-pdf/7/1/184/2072133/netn_a_00278.pdf
Graph theoretical approach to brain remodeling in multiple sclerosis,"AH Abdolalizadeh, MAD Ohadi, ASB Ershadi","Multiple sclerosis (MS) is a neuroinflammatory disorder damaging structural connectivity.  Natural remodeling processes of the nervous system can, to some extent, restore the damage",2023,https://direct.mit.edu/netn/article-pdf/7/1/148/2071985/netn_a_00276.pdf
Persistent Homology of Tumor CT Scans Predicts Survival In Lung Cancer,"E Somasundaram, A Litzler, R Wadhwa, J Scott",Topological data analysis (TDA) encompasses a broad set of techniques used to highlight   variable was removed as its wide confidence interval interfered with data visualization.,2020,https://scholar.archive.org/work/6txpmnzmerdcveptoqrgwtlczi/access/wayback/https://www.medrxiv.org/content/medrxiv/early/2020/12/07/2020.12.06.20244863.full.pdf
Topological Features of Electroencephalography are Robust to Re-referencing and Preprocessing,"J Billings, R Tivadar, MM Murray, B Franceschiello","We then assess their robustness and discriminatory power, eg between different subjects  and tasks, using recent topological data analysis tools. These tools have been shown to be",2022,https://www.isi.it/wp-content/uploads/2024/01/topological-features-of-electroencephalography-are-robust-to-re-referencing-and-preprocessing_Billings2022_Article_TopologicalFeaturesOfElectroen.pdf
Topological features of electroencephalography are reference-invariant,"J Billings, R Tivadar, MM Murray, B Franceschiello","We then assess their robustness and discriminatory power, eg between different subjects  and tasks, using recent topological data analysis tools. These tools have been shown to be",2020,https://www.biorxiv.org/content/biorxiv/early/2020/09/27/2020.09.25.311829.full.pdf
Manifold Learning for fMRI time-varying FC,"J Gonzalez-Castillo, I Fernandez, KC Lam","Similarly, if manifold estimation is used to compress the data or extract features for a  subsequent classification step, knowing the ID can help us decide how many dimensions (ie,",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9928030/
Statistical Analysis of Quantitative Cancer Imaging Data,"S Mohammed, M Masotti, N Osher","statistical shape analysis and topological data analysis. Section 2.3  shape analysis,  functional and topological data analysis.  A scalable Expectation-Maximization-based estimation",2024,https://www.tandfonline.com/doi/pdf/10.1080/29979676.2024.2405348
High-dimensional classification for brain decoding,"N Croteau, FS Nathoo, J Cao, R Budney",Using tools from topological data analysis we aim to identify topological structures associated   be based on stability selection for structure estimation [19] and we plan to investigate this.,2017,https://arxiv.org/pdf/1504.02800
Individual Topological Analysis of Synchronization-Based Brain Connectivity,"A Lombardi, N Amoroso, D Diacono, A Monaco",Topological data analysis have been largely applied to investigate the architecture of brain   For the estimation of the embedded parameters m and τ several techniques have been,2020,https://www.mdpi.com/2076-3417/10/9/3275/pdf
Using discrete Ricci curvatures to infer COVID-19 epidemic network fragility and systemic risk,"DB de Souza, JTS Da Cunha","of a coordinated and continuous data-driven feedback system that could quantify the spread  and the risk of the epidemic, without strongly depending on parameter estimation (such as",2021,https://www.medrxiv.org/content/medrxiv/early/2020/09/07/2020.04.01.20047225.full.pdf
Shape-Preserving Dimensionality Reduction: An Algorithm and Measures of Topological Equivalence,"B Yu, K You",We introduce a linear dimensionality reduction technique preserving topological features via  persistent homology. The method is designed to find linear projection $L$ which preserves,2021,https://arxiv.org/pdf/2106.02096
The multiverse of data preprocessing and analysis in graph-based fMRI: A systematic literature review of analytical choices fed into a decision support tool for …,"D Kristanto, M Burkhardt, C Thiel, S Debener","The large number of different analytical choices researchers use may be partly responsible  for the replication challenge in neuroimaging studies. For robustness analysis, knowledge of",2024,https://www.biorxiv.org/content/biorxiv/early/2024/01/15/2024.01.14.575565.full.pdf
Nonparametric anomaly detection on time series of graphs,"D Ofori-Boateng, YR Gel, I Cribben","Moreover, we intend to extend our analysis to include the estimation of network summaries  that are based on the local topology and geometry of the graph. In particular, we intend to",2021,https://www.biorxiv.org/content/biorxiv/early/2020/11/05/2019.12.15.876730.full.pdf
A covariate-constraint method to map brain feature space into lower dimensional manifolds,"F Renard, C Heinrich, M Bouthillon, M Schenck","Human brain connectome studies aim to both explore healthy brains, and extract and analyze  relevant features associated with pathologies of interest. Usually this consists of modeling",2021,https://direct.mit.edu/netn/article-pdf/5/1/252/1911574/netn_a_00176.pdf
Non-linear manifold learning in fmri uncovers a low-dimensional space of brain dynamics,"S Gao, G Mishne, D Scheinost","Large-scale brain dynamics are believed to lie in a latent, low-dimensional space. Typically,  the embeddings of brain scans are derived independently from different cognitive tasks or",2020,https://www.biorxiv.org/content/10.1101/2020.11.25.398693.full.pdf
Investigation of genetic variants and causal biomarkers associated with brain aging,"J Kim, J Lee, K Nam, S Lee","The existing studies on brain age estimation had similar accuracy to this result 7,8,9,10 .  The mean absolute error in the samples with diseases was 2.651 years. Figure 2a shows the",2023,https://www.nature.com/articles/s41598-023-27903-x.pdf
Neurogenetic profiles delineate large-scale connectivity dynamics of the human brain,"I Diez, J Sepulcre","Fourth, we applied an initial statistically significant cutoff (>1.65 SD; based on 90% confidence  interval) to obtain a broad list of genes in order to perform GO overrepresentation tests",2018,https://www.nature.com/articles/s41467-018-06346-3.pdf
When default is not default: Solutions to the replication crisis and beyond,K Specht,variability will allow a better estimation of power and sample sizes (TDA) The purpose of  topological data analysis is to simplify  This project aims at applying topological data analysis on,NA,https://www.uib.no/sites/w3.uib.no/files/attachments/dmn_repro_2017_v09.pdf
Predicting cognitive decline in a low-dimensional representation of brain morphology,"R Lamontagne-Caron, P Desrosiers, O Potvin","rests on Riemannian manifold theory and topological data analysis. In a high-dimensional   In this article, we present our work on brain morphology trajectory estimation on a number of",2023,https://www.nature.com/articles/s41598-023-43063-4.pdf
Pushing the boundaries of psychiatric neuroimaging to ground diagnosis in biology,"M Saggar, LQ Uddin","To accurately detect, track progression of, and develop novel treatments for mental illnesses,  a diagnostic framework is needed that is grounded in biological features. Here, we present",2019,https://www.eneuro.org/content/eneuro/6/6/ENEURO.0384-19.2019.full.pdf
Network analysis of time series: Novel approaches to network neuroscience,"TF Varley, O Sporns","In the last two decades, there has been an explosion of interest in modeling the brain as a  network, where nodes correspond variously to brain regions or neurons, and edges",2022,https://www.frontiersin.org/articles/10.3389/fnins.2021.787068/pdf
Manifold learning of dynamic functional connectivity reliably identifies functionally consistent coupling patterns in human brains,"Y Yang, L Wang, Y Lei, Y Zhu, H Shen","framewise dFC method in the numerous dFC estimation methodologies [28]. The temporal   the ability to resolve the dynamics and quality of the covariance matrix estimation [4,27].",2019,https://www.mdpi.com/2076-3425/9/11/309/pdf
Elastic statistical shape analysis of biological structures with case studies: a tutorial,"MH Cho, A Asiaee, S Kurtek","In particular, it is important to understand the effect of noise on the estimation of the optimal  reparameterization during pairwise comparisons. In the small noise setting, this estimation is",2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6612445/
A Bayesian state-space approach to mapping directional brain networks,"H Li, Y Wang, G Yan, Y Sun, S Tanabe","More seriously, high-order MARs have large estimation errors because they have at least d  2  edges, is equivalent to selecting nonzero γ ij ’s, which is the focus of our model estimation.",2021,https://arxiv.org/pdf/2012.11114
Regions of Interest as nodes of dynamic functional brain networks,"E Ryyppö, E Glerean, E Brattico, J Saramäki","The properties of functional brain networks strongly depend on how their nodes are chosen.  Commonly, nodes are defined by Regions of Interest (ROIs), predetermined groupings of",2018,https://direct.mit.edu/netn/article-pdf/2/4/513/1092259/netn_a_00047.pdf
The Euler characteristic and topological phase transitions in complex systems,"EC de Amorim Filho, RA Moreira","interaction networks using methods of topological data analysis for two variants of the  its  local maxima, which can be seen as an estimation of the maximum number of loops in a real",2022,https://iopscience.iop.org/article/10.1088/2632-072X/ac664c/pdf
