PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31870407","tmap: an integrative framework based on topological data analysis for population-scale microbiome stratification and association studies","Liao T, Wei Y, Luo M, Zhao GP, Zhou H.","Genome Biol. 2019 Dec 23;20(1):293. doi: 10.1186/s13059-019-1871-4.","Liao T","Genome Biol","2019","2019/12/25","PMC6927166","","10.1186/s13059-019-1871-4"
"33277153","Segmentation of biomedical images based on a computational topology framework","Moraleda RR, Xiong W, Valous NA, Halama N.","Semin Immunol. 2020 Apr;48:101432. doi: 10.1016/j.smim.2020.101432. Epub 2020 Dec 2.","Moraleda RR","Semin Immunol","2020","2020/12/05","","","10.1016/j.smim.2020.101432"
"37846308","An application of topological data analysis in predicting sumoylation sites","Lin X, Gao Y, Lei F.","PeerJ. 2023 Oct 12;11:e16204. doi: 10.7717/peerj.16204. eCollection 2023.","Lin X","PeerJ","2023","2023/10/17","PMC10576966","","10.7717/peerj.16204"
"39386148","CHATGPT FOR COMPUTATIONAL TOPOLOGY","Liu J, Shen L, Wei GW.","Found Data Sci. 2024 Jun;6(2):221-250. doi: 10.3934/fods.2024009.","Liu J","Found Data Sci","2024","2024/10/10","PMC11463974","NIHMS1980786","10.3934/fods.2024009"
"37583442","Topological Knowledge Distillation for Wearable Sensor Data","Jeon ES, Choi H, Shukla A, Wang Y, Buman MP, Turaga P.","Conf Rec Asilomar Conf Signals Syst Comput. 2022 Oct-Nov;2022:837-842. doi: 10.1109/ieeeconf56349.2022.10052019. Epub 2023 Mar 7.","Jeon ES","Conf Rec Asilomar Conf Signals Syst Comput","2022","2023/08/16","PMC10426276","NIHMS1920709","10.1109/ieeeconf56349.2022.10052019"
"34490420","Topological Data Analysis Highlights Novel Geographical Signatures of the Human Gut Microbiome","Lymberopoulos E, Gentili GI, Alomari M, Sharma N.","Front Artif Intell. 2021 Aug 18;4:680564. doi: 10.3389/frai.2021.680564. eCollection 2021.","Lymberopoulos E","Front Artif Intell","2021","2021/09/07","PMC8417942","","10.3389/frai.2021.680564"
"36913351","Topological data analysis of human brain networks through order statistics","Das S, Anand DV, Chung MK.","PLoS One. 2023 Mar 13;18(3):e0276419. doi: 10.1371/journal.pone.0276419. eCollection 2023.","Das S","PLoS One","2023","2023/03/13","PMC10010566","","10.1371/journal.pone.0276419"
"35970984","Precision dynamical mapping using topological data analysis reveals a hub-like transition state at rest","Saggar M, Shine JM, Liégeois R, Dosenbach NUF, Fair D.","Nat Commun. 2022 Aug 15;13(1):4791. doi: 10.1038/s41467-022-32381-2.","Saggar M","Nat Commun","2022","2022/08/15","PMC9378660","","10.1038/s41467-022-32381-2"
"32192930","Imaging-Verified Disease Stages: Branching Off Into the Landscape of Possibilities","Argulian E, Narula J.","JACC Cardiovasc Imaging. 2020 Aug;13(8):1671-1673. doi: 10.1016/j.jcmg.2020.02.013. Epub 2020 Mar 16.","Argulian E","JACC Cardiovasc Imaging","2020","2020/03/21","","","10.1016/j.jcmg.2020.02.013"
"35142909","A hands-on tutorial on network and topological neuroscience","Centeno EGZ, Moreni G, Vriend C, Douw L, Santos FAN.","Brain Struct Funct. 2022 Apr;227(3):741-762. doi: 10.1007/s00429-021-02435-0. Epub 2022 Feb 10.","Centeno EGZ","Brain Struct Funct","2022","2022/02/10","PMC8930803","","10.1007/s00429-021-02435-0"
"32317343","Topological Data Analysis Reveals Robust Alterations in the Whole-Brain and Frontal Lobe Functional Connectomes in Attention-Deficit/Hyperactivity Disorder","Gracia-Tabuenca Z, Díaz-Patiño JC, Arelio I, Alcauter S.","eNeuro. 2020 May 12;7(3):ENEURO.0543-19.2020. doi: 10.1523/ENEURO.0543-19.2020. Print 2020 May/Jun.","Gracia-Tabuenca Z","eNeuro","2020","2020/04/23","PMC7221355","","10.1523/ENEURO.0543-19.2020"
"39535532","Mitigating bias in radiology: The promise of topological data analysis and simplicial complexes","Singh Y, Farrelly C, Hathaway QA, Carlsson G.","Oncotarget. 2024 Nov 12;15:782-783. doi: 10.18632/oncotarget.28668.","Singh Y","Oncotarget","2024","2024/11/13","PMC11559658","","10.18632/oncotarget.28668"
"26873463","Topological data analysis: A promising big data exploration tool in biology, analytical chemistry and physical chemistry","Offroy M, Duponchel L.","Anal Chim Acta. 2016 Mar 3;910:1-11. doi: 10.1016/j.aca.2015.12.037. Epub 2016 Jan 5.","Offroy M","Anal Chim Acta","2016","2016/02/14","","","10.1016/j.aca.2015.12.037"
"37149125","Topological data analysis of antibody dynamics of severe and non-severe patients with COVID-19","Blanco-Rodríguez R, Ordoñez-Jiménez F, Almocera AES, Chinney-Herrera G, Hernandez-Vargas E.","Math Biosci. 2023 Jul;361:109011. doi: 10.1016/j.mbs.2023.109011. Epub 2023 May 5.","Blanco-Rodríguez R","Math Biosci","2023","2023/05/06","PMC10159681","","10.1016/j.mbs.2023.109011"
"29643350","Towards a new approach to reveal dynamical organization of the brain using topological data analysis","Saggar M, Sporns O, Gonzalez-Castillo J, Bandettini PA, Carlsson G, Glover G, Reiss AL.","Nat Commun. 2018 Apr 11;9(1):1399. doi: 10.1038/s41467-018-03664-4.","Saggar M","Nat Commun","2018","2018/04/13","PMC5895632","","10.1038/s41467-018-03664-4"
"27345159","Topological Data Analysis Generates High-Resolution, Genome-wide Maps of Human Recombination","Camara PG, Rosenbloom DI, Emmett KJ, Levine AJ, Rabadan R.","Cell Syst. 2016 Jul;3(1):83-94. doi: 10.1016/j.cels.2016.05.008. Epub 2016 Jun 23.","Camara PG","Cell Syst","2016","2016/06/28","PMC4965322","NIHMS793185","10.1016/j.cels.2016.05.008"
"34396089","A Comparative Study of Machine Learning Methods for Persistence Diagrams","Barnes D, Polanco L, Perea JA.","Front Artif Intell. 2021 Jul 28;4:681174. doi: 10.3389/frai.2021.681174. eCollection 2021.","Barnes D","Front Artif Intell","2021","2021/08/16","PMC8355525","","10.3389/frai.2021.681174"
"38351222","Identification of Autism Spectrum Disorder Using Topological Data Analysis","Zhang X, Gao Y, Zhang Y, Li F, Li H, Lei F.","J Imaging Inform Med. 2024 Jun;37(3):1023-1037. doi: 10.1007/s10278-024-01002-3. Epub 2024 Feb 13.","Zhang X","J Imaging Inform Med","2024","2024/02/13","PMC11169318","","10.1007/s10278-024-01002-3"
"36748007","Persistent topological Laplacian analysis of SARS-CoV-2 variants","Wei X, Chen J, Guo-Wei W.","ArXiv [Preprint]. 2023 Apr 6:arXiv:2301.10865v2.","Wei X","ArXiv","2023","2023/02/07","PMC9900960","",""
"34504173","Flow estimation solely from image data through persistent homology analysis","Suzuki A, Miyazawa M, Minto JM, Tsuji T, Obayashi I, Hiraoka Y, Ito T.","Sci Rep. 2021 Sep 9;11(1):17948. doi: 10.1038/s41598-021-97222-6.","Suzuki A","Sci Rep","2021","2021/09/10","PMC8429714","","10.1038/s41598-021-97222-6"
"37578973","The shape of cancer relapse: Topological data analysis predicts recurrence in paediatric acute lymphoblastic leukaemia","Chulián S, Stolz BJ, Martínez-Rubio Á, Blázquez Goñi C, Rodríguez Gutiérrez JF, Caballero Velázquez T, Molinos Quintana Á, Ramírez Orellana M, Castillo Robleda A, Fuster Soler JL, Minguela Puras A, Martínez Sánchez MV, Rosa M, Pérez-García VM, Byrne HM.","PLoS Comput Biol. 2023 Aug 14;19(8):e1011329. doi: 10.1371/journal.pcbi.1011329. eCollection 2023 Aug.","Chulián S","PLoS Comput Biol","2023","2023/08/14","PMC10468039","","10.1371/journal.pcbi.1011329"
"39372220","PERSISTENT HYPERDIGRAPH HOMOLOGY AND PERSISTENT HYPERDIGRAPH LAPLACIANS","Chen D, Liu J, Wu J, Wei GW.","Found Data Sci. 2023 Dec;5(4):558-588. doi: 10.3934/fods.2023010.","Chen D","Found Data Sci","2023","2024/10/07","PMC11452150","NIHMS1980789","10.3934/fods.2023010"
"31790458","Designing machine learning workflows with an application to topological data analysis","Cawi E, La Rosa PS, Nehorai A.","PLoS One. 2019 Dec 2;14(12):e0225577. doi: 10.1371/journal.pone.0225577. eCollection 2019.","Cawi E","PLoS One","2019","2019/12/03","PMC6886815","","10.1371/journal.pone.0225577"
"37829318","Persistent topological Laplacian analysis of SARS-CoV-2 variants","Wei X, Chen J, Wei GW.","J Comput Biophys Chem. 2023 Aug;22(5):569-587. doi: 10.1142/s2737416523500278. Epub 2023 Jun 8.","Wei X","J Comput Biophys Chem","2023","2023/10/13","PMC10569362","NIHMS1888545","10.1142/s2737416523500278"
"33018105","Topological Descriptors for Parkinson's Disease Classification and Regression Analysis","Nawar A, Rahman F, Krishnamurthi N, Som A, Turaga P.","Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:793-797. doi: 10.1109/EMBC44109.2020.9176285.","Nawar A","Annu Int Conf IEEE Eng Med Biol Soc","2020","2020/10/06","","","10.1109/EMBC44109.2020.9176285"
"37647183","A Survey of Vectorization Methods in Topological Data Analysis","Ali D, Asaad A, Jimenez MJ, Nanda V, Paluzo-Hidalgo E, Soriano-Trigueros M.","IEEE Trans Pattern Anal Mach Intell. 2023 Dec;45(12):14069-14080. doi: 10.1109/TPAMI.2023.3308391. Epub 2023 Nov 3.","Ali D","IEEE Trans Pattern Anal Mach Intell","2023","2023/08/30","","","10.1109/TPAMI.2023.3308391"
"33127442","Why we should use topological data analysis in ageing: Towards defining the ""topological shape of ageing""","Fülöp T, Desroches M, A Cohen A, Santos FAN, Rodrigues S.","Mech Ageing Dev. 2020 Dec;192:111390. doi: 10.1016/j.mad.2020.111390. Epub 2020 Oct 27.","Fülöp T","Mech Ageing Dev","2020","2020/10/31","","","10.1016/j.mad.2020.111390"
"35133792","Emerging Vaccine-Breakthrough SARS-CoV-2 Variants","Wang R, Chen J, Hozumi Y, Yin C, Wei GW.","ACS Infect Dis. 2022 Mar 11;8(3):546-556. doi: 10.1021/acsinfecdis.1c00557. Epub 2022 Feb 8.","Wang R","ACS Infect Dis","2022","2022/02/08","PMC8848511","NIHMS1922413","10.1021/acsinfecdis.1c00557"
"34955026","Topological Data Analysis of Nanoscale Roughness in Brass Samples","Zhukov M, Hasan MS, Nesterov P, Sabbouh M, Burdulenko O, Skorb EV, Nosonovsky M.","ACS Appl Mater Interfaces. 2022 Jan 12;14(1):2351-2359. doi: 10.1021/acsami.1c20694. Epub 2021 Dec 25.","Zhukov M","ACS Appl Mater Interfaces","2022","2021/12/27","","","10.1021/acsami.1c20694"
"30327773","Gene Coexpression Network Comparison via Persistent Homology","Duman AN, Pirim H.","Int J Genomics. 2018 Sep 19;2018:7329576. doi: 10.1155/2018/7329576. eCollection 2018.","Duman AN","Int J Genomics","2018","2018/10/18","PMC6169238","","10.1155/2018/7329576"
"34320632","The topology of data: opportunities for cancer research","Loughrey CF, Fitzpatrick P, Orr N, Jurek-Loughrey A.","Bioinformatics. 2021 Oct 11;37(19):3091-3098. doi: 10.1093/bioinformatics/btab553.","Loughrey CF","Bioinformatics","2021","2021/07/28","PMC8504620","","10.1093/bioinformatics/btab553"
"33064571","Review of COVID-19 Antibody Therapies","Chen J, Gao K, Wang R, Nguyen DD, Wei GW.","Annu Rev Biophys. 2021 May 6;50:1-30. doi: 10.1146/annurev-biophys-062920-063711. Epub 2020 Oct 16.","Chen J","Annu Rev Biophys","2021","2020/10/16","PMC8155790","NIHMS1698928","10.1146/annurev-biophys-062920-063711"
"38239606","Topological data analysis of the firings of a network of stochastic spiking neurons","Bai X, Yu C, Zhai J.","Front Neural Circuits. 2024 Jan 4;17:1308629. doi: 10.3389/fncir.2023.1308629. eCollection 2023.","Bai X","Front Neural Circuits","2024","2024/01/19","PMC10794443","","10.3389/fncir.2023.1308629"
"35213311","Topological Simplifications of Hypergraphs","Zhou Y, Rathore A, Purvine E, Wang B.","IEEE Trans Vis Comput Graph. 2023 Jul;29(7):3209-3225. doi: 10.1109/TVCG.2022.3153895. Epub 2023 May 26.","Zhou Y","IEEE Trans Vis Comput Graph","2023","2022/02/25","","","10.1109/TVCG.2022.3153895"
"37506452","Topological deep learning based deep mutational scanning","Chen J, Woldring DR, Huang F, Huang X, Wei GW.","Comput Biol Med. 2023 Sep;164:107258. doi: 10.1016/j.compbiomed.2023.107258. Epub 2023 Jul 17.","Chen J","Comput Biol Med","2023","2023/07/28","PMC10528359","NIHMS1917650","10.1016/j.compbiomed.2023.107258"
"32179422","Visualising 2-simplex formation in metabolic reactions","Piangerelli M, Maestri S, Merelli E.","J Mol Graph Model. 2020 Jun;97:107576. doi: 10.1016/j.jmgm.2020.107576. Epub 2020 Mar 5.","Piangerelli M","J Mol Graph Model","2020","2020/03/18","","","10.1016/j.jmgm.2020.107576"
"33948593","Determining clinically relevant features in cytometry data using persistent homology","Mukherjee S, Wethington D, Dey TK, Das J.","bioRxiv [Preprint]. 2021 Apr 27:2021.04.26.441473. doi: 10.1101/2021.04.26.441473.","Mukherjee S","bioRxiv","2021","2021/05/05","PMC8095200","","10.1101/2021.04.26.441473"
"32917687","Revealing hidden medium-range order in amorphous materials using topological data analysis","Sørensen SS, Biscio CAN, Bauchy M, Fajstrup L, Smedskjaer MM.","Sci Adv. 2020 Sep 9;6(37):eabc2320. doi: 10.1126/sciadv.abc2320. Print 2020 Sep.","Sørensen SS","Sci Adv","2020","2020/09/12","PMC11206462","","10.1126/sciadv.abc2320"
"36273372","Algebra, Geometry and Topology of ERK Kinetics","Marsh L, Dufresne E, Byrne HM, Harrington HA.","Bull Math Biol. 2022 Oct 23;84(12):137. doi: 10.1007/s11538-022-01088-2.","Marsh L","Bull Math Biol","2022","2022/10/23","PMC9588486","","10.1007/s11538-022-01088-2"
"35560328","A topological data analysis-based method for gait signals with an application to the study of multiple sclerosis","Bois A, Tervil B, Moreau A, Vienne-Jumeau A, Ricard D, Oudre L.","PLoS One. 2022 May 13;17(5):e0268475. doi: 10.1371/journal.pone.0268475. eCollection 2022.","Bois A","PLoS One","2022","2022/05/13","PMC9106173","","10.1371/journal.pone.0268475"
"32732999","Identification of relevant genetic alterations in cancer using topological data analysis","Rabadán R, Mohamedi Y, Rubin U, Chu T, Alghalith AN, Elliott O, Arnés L, Cal S, Obaya ÁJ, Levine AJ, Cámara PG.","Nat Commun. 2020 Jul 30;11(1):3808. doi: 10.1038/s41467-020-17659-7.","Rabadán R","Nat Commun","2020","2020/08/01","PMC7393176","","10.1038/s41467-020-17659-7"
"34751196","Direct and Indirect Neurological Signs of COVID-19","Gromova OA, Torshin IY, Semenov VA, Putilina MV, Chuchalin AG.","Neurosci Behav Physiol. 2021;51(7):856-866. doi: 10.1007/s11055-021-01144-9. Epub 2021 Nov 4.","Gromova OA","Neurosci Behav Physiol","2021","2021/11/09","PMC8566113","","10.1007/s11055-021-01144-9"
"35596135","Gene expression data classification using topology and machine learning models","Dey TK, Mandal S, Mukherjee S.","BMC Bioinformatics. 2022 May 20;22(Suppl 10):627. doi: 10.1186/s12859-022-04704-z.","Dey TK","BMC Bioinformatics","2022","2022/05/20","PMC9121583","","10.1186/s12859-022-04704-z"
"27325272","A Multimodal Data Analysis Approach for Targeted Drug Discovery Involving Topological Data Analysis (TDA)","Alagappan M, Jiang D, Denko N, Koong AC.","Adv Exp Med Biol. 2016;899:253-68. doi: 10.1007/978-3-319-26666-4_15.","Alagappan M","Adv Exp Med Biol","2016","2016/06/22","PMC5519345","NIHMS873390","10.1007/978-3-319-26666-4_15"
"37455284","Stratification of diabetes in the context of comorbidities, using representation learning and topological data analysis","Wamil M, Hassaine A, Rao S, Li Y, Mamouei M, Canoy D, Nazarzadeh M, Bidel Z, Copland E, Rahimi K, Salimi-Khorshidi G.","Sci Rep. 2023 Jul 16;13(1):11478. doi: 10.1038/s41598-023-38251-1.","Wamil M","Sci Rep","2023","2023/07/16","PMC10350454","","10.1038/s41598-023-38251-1"
"25250242","Topological data analysis of Escherichia coli O157:H7 and non-O157 survival in soils","Ibekwe AM, Ma J, Crowley DE, Yang CH, Johnson AM, Petrossian TC, Lum PY.","Front Cell Infect Microbiol. 2014 Sep 5;4:122. doi: 10.3389/fcimb.2014.00122. eCollection 2014.","Ibekwe AM","Front Cell Infect Microbiol","2014","2014/09/25","PMC4155871","","10.3389/fcimb.2014.00122"
"34335113","Conley Index Approach to Sampled Dynamics","Batko B, Mischaikow K, Mrozek M, Przybylski M.","SIAM J Appl Dyn Syst. 2020;19(1):665-704. doi: 10.1137/19m1254404. Epub 2020 Mar 30.","Batko B","SIAM J Appl Dyn Syst","2020","2021/08/02","PMC8320677","NIHMS1672337","10.1137/19m1254404"
"37997709","Gene signatures in U-BIOPRED severe asthma for molecular phenotyping and precision medicine: time for clinical use","Kermani N, Versi A, Gay A, Vlasma J, Jayalatha AKS, Koppelman GH, Nawijn M, Faiz A, van den Berge M, Adcock IM, Chung KF.","Expert Rev Respir Med. 2023 Jul-Dec;17(11):965-971. doi: 10.1080/17476348.2023.2278606. Epub 2023 Dec 26.","Kermani N","Expert Rev Respir Med","2023","2023/11/24","","","10.1080/17476348.2023.2278606"
"34428514","Topological signal processing and inference of event-related potential response","Wang Y, Behroozmand R, Johnson LP, Bonilha L, Fridriksson J.","J Neurosci Methods. 2021 Nov 1;363:109324. doi: 10.1016/j.jneumeth.2021.109324. Epub 2021 Aug 21.","Wang Y","J Neurosci Methods","2021","2021/08/24","PMC8532323","NIHMS1740522","10.1016/j.jneumeth.2021.109324"
"37090232","Altered Topological Structure of the Brain White Matter in Maltreated Children through Topological Data Analysis","Chung MK, Azizi T, Hanson JL, Alexander AL, Davidson RJ, Pollak SD.","ArXiv [Preprint]. 2023 Nov 15:arXiv:2304.05908v3.","Chung MK","ArXiv","2023","2023/04/24","PMC10120754","",""
"35177744","Topological data analysis gives two folding paths in HP35(nle-nle), double mutant of villin headpiece subdomain","Ichinomiya T.","Sci Rep. 2022 Feb 17;12(1):2719. doi: 10.1038/s41598-022-06682-x.","Ichinomiya T","Sci Rep","2022","2022/02/18","PMC8854739","","10.1038/s41598-022-06682-x"
"36621169","Topological biclustering ARTMAP for identifying within bicluster relationships","Yelugam R, Brito da Silva LE, Wunsch Ii DC.","Neural Netw. 2023 Mar;160:34-49. doi: 10.1016/j.neunet.2022.12.010. Epub 2022 Dec 20.","Yelugam R","Neural Netw","2023","2023/01/09","","","10.1016/j.neunet.2022.12.010"
"35687679","Multiscale topology characterizes dynamic tumor vascular networks","Stolz BJ, Kaeppler J, Markelc B, Braun F, Lipsmeier F, Muschel RJ, Byrne HM, Harrington HA.","Sci Adv. 2022 Jun 10;8(23):eabm2456. doi: 10.1126/sciadv.abm2456. Epub 2022 Jun 10.","Stolz BJ","Sci Adv","2022","2022/06/10","PMC9187234","","10.1126/sciadv.abm2456"
"31893635","Analyzing collective motion with machine learning and topology","Bhaskar D, Manhart A, Milzman J, Nardini JT, Storey KM, Topaz CM, Ziegelmeier L.","Chaos. 2019 Dec;29(12):123125. doi: 10.1063/1.5125493.","Bhaskar D","Chaos","2019","2020/01/03","PMC7027427","","10.1063/1.5125493"
"36407804","Biomolecular Topology: Modelling and Analysis","Liu J, Xia KL, Wu J, Yau SS, Wei GW.","Acta Math Sin Engl Ser. 2022;38(10):1901-1938. doi: 10.1007/s10114-022-2326-5. Epub 2022 Oct 15.","Liu J","Acta Math Sin Engl Ser","2022","2022/11/21","PMC9640850","","10.1007/s10114-022-2326-5"
"38170473","Lean blowout detection using topological data analysis","Bhattacharya A, Mondal S, De S, Mukhopadhyay A, Sen S.","Chaos. 2024 Jan 1;34(1):013102. doi: 10.1063/5.0156500.","Bhattacharya A","Chaos","2024","2024/01/03","","","10.1063/5.0156500"
"34820649","TDAExplore: Quantitative analysis of fluorescence microscopy images through topology-based machine learning","Edwards P, Skruber K, Milićević N, Heidings JB, Read TA, Bubenik P, Vitriol EA.","Patterns (N Y). 2021 Oct 12;2(11):100367. doi: 10.1016/j.patter.2021.100367. eCollection 2021 Nov 12.","Edwards P","Patterns (N Y)","2021","2021/11/25","PMC8600226","","10.1016/j.patter.2021.100367"
"37387576","Topological Data Analysis and Use of Mapper for Cerebral Aneurysm Rupture Status Discrimination Based on 3-Dimensional Shape Analysis","Lauric A, Ludwig CG, Malek AM.","Neurosurgery. 2023 Dec 1;93(6):1285-1295. doi: 10.1227/neu.0000000000002570. Epub 2023 Jun 30.","Lauric A","Neurosurgery","2023","2023/06/30","","","10.1227/neu.0000000000002570"
"33688559","Topological Data Analysis: A New Method to Identify Genetic Alterations in Cancer","Yu J, Chang X.","Asia Pac J Oncol Nurs. 2021 Jan 29;8(2):112-114. doi: 10.4103/2347-5625.308301. eCollection 2021 Mar-Apr.","Yu J","Asia Pac J Oncol Nurs","2021","2021/03/10","PMC7934599","","10.4103/2347-5625.308301"
"39429974","Persistent Mayer Dirac","Suwayyid F, Wei GW.","J Phys Complex. 2024 Dec 1;5(4):045005. doi: 10.1088/2632-072X/ad83a5. Epub 2024 Oct 17.","Suwayyid F","J Phys Complex","2024","2024/10/21","PMC11488505","","10.1088/2632-072X/ad83a5"
"34056580","Topology Applied to Machine Learning: From Global to Local","Adams H, Moy M.","Front Artif Intell. 2021 May 14;4:668302. doi: 10.3389/frai.2021.668302. eCollection 2021.","Adams H","Front Artif Intell","2021","2021/05/31","PMC8160457","","10.3389/frai.2021.668302"
"38895528","Topography hierarchy of biocompatible polyhydroxyalkanoate film","Ghorabe FDE, Aglikov A, Novikov AS, Nosonovsky M, Ryltseva GA, Dudaev AE, Menzianova NG, Skorb EV, Shishatskaya EI.","RSC Adv. 2024 Jun 18;14(27):19603-19611. doi: 10.1039/d4ra03398a. eCollection 2024 Jun 12.","Ghorabe FDE","RSC Adv","2024","2024/06/19","PMC11184939","","10.1039/d4ra03398a"
"39484069","Topology-Aware Uncertainty for Image Segmentation","Gupta S, Zhang Y, Hu X, Prasanna P, Chen C.","Adv Neural Inf Process Syst. 2024;36:8186-8207. Epub 2024 May 30.","Gupta S","Adv Neural Inf Process Syst","2024","2024/11/01","PMC11526043","NIHMS1941698",""
"37709793","Topological data analysis of spatial patterning in heterogeneous cell populations: clustering and sorting with varying cell-cell adhesion","Bhaskar D, Zhang WY, Volkening A, Sandstede B, Wong IY.","NPJ Syst Biol Appl. 2023 Sep 14;9(1):43. doi: 10.1038/s41540-023-00302-8.","Bhaskar D","NPJ Syst Biol Appl","2023","2023/09/14","PMC10502054","","10.1038/s41540-023-00302-8"
"32025466","A roadmap for the computation of persistent homology","Otter N, Porter MA, Tillmann U, Grindrod P, Harrington HA.","EPJ Data Sci. 2017;6(1):17. doi: 10.1140/epjds/s13688-017-0109-5. Epub 2017 Aug 9.","Otter N","EPJ Data Sci","2017","2020/02/07","PMC6979512","","10.1140/epjds/s13688-017-0109-5"
"27532298","Inference of Ancestral Recombination Graphs through Topological Data Analysis","Cámara PG, Levine AJ, Rabadán R.","PLoS Comput Biol. 2016 Aug 17;12(8):e1005071. doi: 10.1371/journal.pcbi.1005071. eCollection 2016 Aug.","Cámara PG","PLoS Comput Biol","2016","2016/08/18","PMC4988722","","10.1371/journal.pcbi.1005071"
"27642379","Persistent Homology Analysis of Brain Artery Trees","Bendich P, Marron JS, Miller E, Pieloch A, Skwerer S.","Ann Appl Stat. 2016;10(1):198-218. doi: 10.1214/15-AOAS886. Epub 2016 Mar 25.","Bendich P","Ann Appl Stat","2016","2016/09/20","PMC5026243","NIHMS777844","10.1214/15-AOAS886"
"29903043","Topolnogical classifier for detecting the emergence of epileptic seizures","Piangerelli M, Rucco M, Tesei L, Merelli E.","BMC Res Notes. 2018 Jun 14;11(1):392. doi: 10.1186/s13104-018-3482-7.","Piangerelli M","BMC Res Notes","2018","2018/06/16","PMC6003048","","10.1186/s13104-018-3482-7"
"29670502","Analysis of Big Data in Gait Biomechanics: Current Trends and Future Directions","Phinyomark A, Petri G, Ibáñez-Marcelo E, Osis ST, Ferber R.","J Med Biol Eng. 2018;38(2):244-260. doi: 10.1007/s40846-017-0297-2. Epub 2017 Jul 17.","Phinyomark A","J Med Biol Eng","2018","2018/04/20","PMC5897457","","10.1007/s40846-017-0297-2"
"32972659","Using topological data analysis and pseudo time series to infer temporal phenotypes from electronic health records","Dagliati A, Geifman N, Peek N, Holmes JH, Sacchi L, Bellazzi R, Sajjadi SE, Tucker A.","Artif Intell Med. 2020 Aug;108:101930. doi: 10.1016/j.artmed.2020.101930. Epub 2020 Jul 15.","Dagliati A","Artif Intell Med","2020","2020/09/25","PMC7536308","","10.1016/j.artmed.2020.101930"
"36349740","Topology-based fluorescence image analysis for automated cell identification and segmentation","Panconi L, Makarova M, Lambert ER, May RC, Owen DM.","J Biophotonics. 2023 Mar;16(3):e202200199. doi: 10.1002/jbio.202200199. Epub 2022 Nov 25.","Panconi L","J Biophotonics","2023","2022/11/09","","","10.1002/jbio.202200199"
"35574188","Quantification of vascular networks in photoacoustic mesoscopy","Brown EL, Lefebvre TL, Sweeney PW, Stolz BJ, Gröhl J, Hacker L, Huang Z, Couturier DL, Harrington HA, Byrne HM, Bohndiek SE.","Photoacoustics. 2022 Apr 20;26:100357. doi: 10.1016/j.pacs.2022.100357. eCollection 2022 Jun.","Brown EL","Photoacoustics","2022","2022/05/16","PMC9095888","","10.1016/j.pacs.2022.100357"
"37793206","Computer-aided drug repurposing to tackle antibiotic resistance based on topological data analysis","Tarín-Pelló A, Suay-García B, Forés-Martos J, Falcó A, Pérez-Gracia MT.","Comput Biol Med. 2023 Nov;166:107496. doi: 10.1016/j.compbiomed.2023.107496. Epub 2023 Sep 28.","Tarín-Pelló A","Comput Biol Med","2023","2023/10/04","","","10.1016/j.compbiomed.2023.107496"
"36180790","A tool for mapping microglial morphology, morphOMICs, reveals brain-region and sex-dependent phenotypes","Colombo G, Cubero RJA, Kanari L, Venturino A, Schulz R, Scolamiero M, Agerberg J, Mathys H, Tsai LH, Chachólski W, Hess K, Siegert S.","Nat Neurosci. 2022 Oct;25(10):1379-1393. doi: 10.1038/s41593-022-01167-6. Epub 2022 Sep 30.","Colombo G","Nat Neurosci","2022","2022/09/30","PMC9534764","","10.1038/s41593-022-01167-6"
"32614445","TDAview: an online visualization tool for topological data analysis","Walsh K, Voineagu MA, Vafaee F, Voineagu I.","Bioinformatics. 2020 Sep 15;36(18):4805-4809. doi: 10.1093/bioinformatics/btaa600.","Walsh K","Bioinformatics","2020","2020/07/03","","","10.1093/bioinformatics/btaa600"
"39535539","Visualizing radiological data bias through persistence images","Singh Y, Farrelly C, Hathaway QA, Carlsson G.","Oncotarget. 2024 Nov 12;15:787-789. doi: 10.18632/oncotarget.28670.","Singh Y","Oncotarget","2024","2024/11/13","PMC11559657","","10.18632/oncotarget.28670"
"36055161","Automatically recognize and segment morphological features of the 3D vertebra based on topological data analysis","Cheng P, Cao X, Yang Y, Zhang G, He Y.","Comput Biol Med. 2022 Oct;149:106031. doi: 10.1016/j.compbiomed.2022.106031. Epub 2022 Aug 24.","Cheng P","Comput Biol Med","2022","2022/09/02","","","10.1016/j.compbiomed.2022.106031"
"39046516","Beyond pixels: Graph filtration learning unveils new dimensions in hepatocellular carcinoma imaging","Singh Y.","Oncotarget. 2024 Jul 24;15:532-534. doi: 10.18632/oncotarget.28635.","Singh Y","Oncotarget","2024","2024/07/24","PMC11268443","","10.18632/oncotarget.28635"
"37228703","Topological data analysis of protein structure and inter/intra-molecular interaction changes attributable to amino acid mutations","Koseki J, Hayashi S, Kojima Y, Hirose H, Shimamura T.","Comput Struct Biotechnol J. 2023 May 9;21:2950-2959. doi: 10.1016/j.csbj.2023.05.009. eCollection 2023.","Koseki J","Comput Struct Biotechnol J","2023","2023/05/25","PMC10205437","","10.1016/j.csbj.2023.05.009"
